2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=14, voltage=3774.8820000712158, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8820000712158, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8820000712158, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.055  INFO -ChnData [chnIndex=15, voltage=3774.8804491523, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8804491523, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.055  INFO -last data:ChnData [chnIndex=0, voltage=3774.8804491523, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=0, voltage=3774.8815101938667, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8815101938667, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8815101938667, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=1, voltage=3774.880108277357, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.880108277357, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.880108277357, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
2021-06-02 11:53:13.305  INFO -ChnData [chnIndex=2, voltage=3774.8810294451755, current=2590.0, capacity=0.0, stepElapsedTime=0, loopIndex=1, stepIndex=2, alertCode=NORMAL, state=RUNNING, workMode=DC, important=true, alertVolt=3774.8810294451755, alertCurrent=0.0, alertCapacity=0.0, alertTime=10932]
2021-06-02 11:53:13.305  INFO -last data:ChnData [chnIndex=0, voltage=3774.8810294451755, current=0.0, capacity=0.0, stepElapsedTime=10932, loopIndex=1, stepIndex=1, alertCode=null, state=RUNNING, workMode=SLEEP, important=true, alertVolt=0.0, alertCurrent=0.0, alertCapacity=0.0, alertTime=0]
